Bone_Region,Classification_Name,Type_Description,Management
0 - General Trauma,Tscherne Classification (Closed),"Grade 0: Intact skin, minimal damage; Grade 1: Superficial abrasion; Grade 2: Deep abrasion, severe fx; Grade 3: Crush, compartment syndrome.","Grade 0: Non-op/standard; Grade 1: Standard fixation; Grade 2: Careful ORIF, monitor soft tissue; Grade 3: Staged, fasciotomy, debridement."
0 - General Trauma,Tscherne Classification (Open),"Grade I: Small puncture; Grade II: Small contusion, moderate contamination; Grade III: Heavy contamination, extensive damage; Grade IV: Amputation.","Grade I-II: I&D, antibiotics, fixation; Grade III: Emergent I&D, vascular/nerve repair; Grade IV: Replantation eval or amputation care."
0 - General Trauma,Gustilo-Anderson Classification (Open Fractures),"Type I: <1cm clean wound; Type II: 1-10cm wound with moderate tissue damage; Type III: >10cm high-energy wound (IIIA: adequate tissue coverage, IIIB: inadequate tissue coverage/needs flap, IIIC: arterial injury requiring repair).","Type I-II: 1st gen Cephalosporin (e.g. Cefazolin); Type III: 1st gen Ceph + Aminoglycoside; Farm/Soil contamination: Add Penicillin; All Types: Tetanus prophylaxis, emergent I&D, and stabilization."
1 - Humerus,Neer Classification (Proximal Humerus),"Based on 4 parts (Head, Shaft, Greater Tuberosity, Lesser Tuberosity). Displacement defined as >1cm or >45 deg. Includes 2-part, 3-part, and 4-part fractures.","1-part: Sling/Physical therapy; 2-part: Closed or open reduction; 3-part: ORIF; 4-part: ORIF or Hemiarthroplasty/Reverse Total Shoulder."
2 - Radius / Ulna,Bado Classification (Monteggia),"Type I: Anterior radial head dislocation; Type II: Posterior; Type III: Lateral; Type IV: Both radius and ulna fractured.","Adults: ORIF of ulna (radial head usually reduces); Children: Closed reduction."
2 - Radius / Ulna,Frykman Classification (Distal Radius),"Even numbers include ulnar styloid fracture. I/II: Extraarticular; III/IV: Radiocarpal joint; V/VI: DRUJ; VII/VIII: Both joints.","Displaced/Instable: ORIF (volar plate) or CRPP."
2 - Radius / Ulna,Mason-Hotchkiss Classification (Radial Head),"Type I: <2mm displacement, no block; Type II: >=2mm or mechanical block; Type III: Comminuted, unsalvageable; Type IV: Associated with elbow dislocation.","I: Sling, early ROM; II: ORIF if block/>2mm; III: Radial head arthroplasty; IV: Reduce dislocation + fix/replace radial head."
2 - Radius / Ulna,Mayo Classification (Olecranon),"Type I: Non-displaced (<2mm); Type II: Displaced (>=3mm), stable joint; Type III: Displaced, unstable joint. (Subtypes: A=non-comminuted, B=comminuted).","I: Non-operative (splint); IIA: TBW or plate; IIB: Plate preferred; III: ORIF + ligament recon or arthroplasty."
2 - Radius / Ulna,Regan-Morrey Classification (Coronoid),"Type I: Tip avulsion (<=2mm); Type II: <=50% height; Type III: >50% height.","I: Non-op if stable; II: ORIF (suture/screw); III: ORIF mandatory + ligament repair."
2 - Radius / Ulna,Fernandez Classification (Distal Radius),"Type I: Bending (extra-articular); Type II: Shearing (intra-articular); Type III: Compression (die-punch); Type IV: Avulsion; Type V: Combined/high-energy.","I: Closed reduction + casting; II: ORIF mandatory; III: ORIF with elevation + graft; IV: ORIF + ligament repair; V: Ex-fix + limited ORIF/spanning plate."
